card_number,set,set_card_number,player,team,notes,parallel
75,Base,75,Igor Thiago,Brentford,,Red /5
75,Base,75,Igor Thiago,Brentford,,Red Mini-Diamonds /5
75,Base,75,Igor Thiago,Brentford,,Red Sparkle /5
75,Base,75,Igor Thiago,Brentford,,FoilFractor 1/1
76,Base,76,Dango Ouattara,Brentford,,Base
76,Base,76,Dango Ouattara,Brentford,,Blue Voltage
76,Base,76,Dango Ouattara,Brentford,,Gold Rainbow Laser
76,Base,76,Dango Ouattara,Brentford,,Green Voltage
76,Base,76,Dango Ouattara,Brentford,,Pink Voltage
76,Base,76,Dango Ouattara,Brentford,,PL
76,Base,76,Dango Ouattara,Brentford,,Purple Voltage
76,Base,76,Dango Ouattara,Brentford,,Yellow Voltage
76,Base,76,Dango Ouattara,Brentford,,Aqua Sparkle /499
76,Base,76,Dango Ouattara,Brentford,,Pink Mini-Diamonds /399
76,Base,76,Dango Ouattara,Brentford,,Pink Sparkle /399
76,Base,76,Dango Ouattara,Brentford,,Yellow Mini-Diamonds /299
76,Base,76,Dango Ouattara,Brentford,,Yellow Sparkle /299
76,Base,76,Dango Ouattara,Brentford,,Purple Mini-Diamonds /199
76,Base,76,Dango Ouattara,Brentford,,Purple Sparkle /199
76,Base,76,Dango Ouattara,Brentford,,Blue /150
76,Base,76,Dango Ouattara,Brentford,,Blue Mini-Diamonds /150
76,Base,76,Dango Ouattara,Brentford,,Blue Sparkle /150
76,Base,76,Dango Ouattara,Brentford,,Green /99
76,Base,76,Dango Ouattara,Brentford,,Green Mini-Diamonds /99
76,Base,76,Dango Ouattara,Brentford,,Green Sparkle /99
76,Base,76,Dango Ouattara,Brentford,,Black & White /75
76,Base,76,Dango Ouattara,Brentford,,Black & White Mini-Diamonds /75
76,Base,76,Dango Ouattara,Brentford,,Black & White Sparkle /75
76,Base,76,Dango Ouattara,Brentford,,Gold /50
76,Base,76,Dango Ouattara,Brentford,,Gold Mini-Diamonds /50
76,Base,76,Dango Ouattara,Brentford,,Gold Sparkle /50
76,Base,76,Dango Ouattara,Brentford,,Netbuster /38
76,Base,76,Dango Ouattara,Brentford,,Orange /25
76,Base,76,Dango Ouattara,Brentford,,Orange Mini-Diamonds /25
76,Base,76,Dango Ouattara,Brentford,,Orange Sparkle /25
76,Base,76,Dango Ouattara,Brentford,,Black /10
76,Base,76,Dango Ouattara,Brentford,,Black Mini-Diamonds /10
76,Base,76,Dango Ouattara,Brentford,,Black Sparkle /10
76,Base,76,Dango Ouattara,Brentford,,Red /5
76,Base,76,Dango Ouattara,Brentford,,Red Mini-Diamonds /5
76,Base,76,Dango Ouattara,Brentford,,Red Sparkle /5
76,Base,76,Dango Ouattara,Brentford,,FoilFractor 1/1
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Base
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Blue Voltage
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Gold Rainbow Laser
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Green Voltage
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Pink Voltage
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,PL
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Purple Voltage
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Yellow Voltage
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Aqua Sparkle /499
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Pink Mini-Diamonds /399
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Pink Sparkle /399
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Yellow Mini-Diamonds /299
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Yellow Sparkle /299
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Purple Mini-Diamonds /199
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Purple Sparkle /199
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Blue /150
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Blue Mini-Diamonds /150
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Blue Sparkle /150
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Green /99
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Green Mini-Diamonds /99
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Green Sparkle /99
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Black & White /75
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Black & White Mini-Diamonds /75
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Black & White Sparkle /75
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Gold /50
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Gold Mini-Diamonds /50
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Gold Sparkle /50
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Netbuster /38
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Orange /25
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Orange Mini-Diamonds /25
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Orange Sparkle /25
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Black /10
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Black Mini-Diamonds /10
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Black Sparkle /10
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Red /5
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Red Mini-Diamonds /5
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,Red Sparkle /5
77,Base,77,Jan Paul van Hecke,Brighton & Hove Albion,,FoilFractor 1/1
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Base
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Blue Voltage
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Gold Rainbow Laser
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Green Voltage
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Pink Voltage
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,PL
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Purple Voltage
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Yellow Voltage
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Aqua Sparkle /499
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Pink Mini-Diamonds /399
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Pink Sparkle /399
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Yellow Mini-Diamonds /299
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Yellow Sparkle /299
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Purple Mini-Diamonds /199
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Purple Sparkle /199
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Blue /150
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Blue Mini-Diamonds /150
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Blue Sparkle /150
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Green /99
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Green Mini-Diamonds /99
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Green Sparkle /99
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Black & White /75
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Black & White Mini-Diamonds /75
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Black & White Sparkle /75
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Gold /50
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Gold Mini-Diamonds /50
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Gold Sparkle /50
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Netbuster /38
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Orange /25
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Orange Mini-Diamonds /25
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Orange Sparkle /25
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Black /10
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Black Mini-Diamonds /10
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Black Sparkle /10
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Red /5
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Red Mini-Diamonds /5
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,Red Sparkle /5
78,Base,78,Ferdi Kadıoğlu,Brighton & Hove Albion,,FoilFractor 1/1
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Base
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Blue Voltage
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Gold Rainbow Laser
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Green Voltage
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Pink Voltage
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,PL
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Purple Voltage
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Yellow Voltage
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Aqua Sparkle /499
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Pink Mini-Diamonds /399
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Pink Sparkle /399
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Yellow Mini-Diamonds /299
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Yellow Sparkle /299
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Purple Mini-Diamonds /199
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Purple Sparkle /199
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Blue /150
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Blue Mini-Diamonds /150
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Blue Sparkle /150
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Green /99
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Green Mini-Diamonds /99
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Green Sparkle /99
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Black & White /75
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Black & White Mini-Diamonds /75
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Black & White Sparkle /75
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Gold /50
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Gold Mini-Diamonds /50
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Gold Sparkle /50
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Netbuster /38
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Orange /25
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Orange Mini-Diamonds /25
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Orange Sparkle /25
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Black /10
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Black Mini-Diamonds /10
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Black Sparkle /10
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Red /5
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Red Mini-Diamonds /5
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,Red Sparkle /5
79,Base,79,Lewis Dunk,Brighton & Hove Albion,,FoilFractor 1/1
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Base
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Blue Voltage
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Gold Rainbow Laser
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Green Voltage
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Pink Voltage
80,Base,80,Diego Coppola,Brighton & Hove Albion,,PL
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Purple Voltage
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Yellow Voltage
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Aqua Sparkle /499
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Pink Mini-Diamonds /399
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Pink Sparkle /399
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Yellow Mini-Diamonds /299
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Yellow Sparkle /299
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Purple Mini-Diamonds /199
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Purple Sparkle /199
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Blue /150
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Blue Mini-Diamonds /150
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Blue Sparkle /150
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Green /99
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Green Mini-Diamonds /99
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Green Sparkle /99
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Black & White /75
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Black & White Mini-Diamonds /75
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Black & White Sparkle /75
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Gold /50
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Gold Mini-Diamonds /50
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Gold Sparkle /50
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Netbuster /38
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Orange /25
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Orange Mini-Diamonds /25
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Orange Sparkle /25
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Black /10
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Black Mini-Diamonds /10
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Black Sparkle /10
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Red /5
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Red Mini-Diamonds /5
80,Base,80,Diego Coppola,Brighton & Hove Albion,,Red Sparkle /5
80,Base,80,Diego Coppola,Brighton & Hove Albion,,FoilFractor 1/1
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Base
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Blue Voltage
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Gold Rainbow Laser
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Green Voltage
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Pink Voltage
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,PL
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Purple Voltage
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Yellow Voltage
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Aqua Sparkle /499
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Pink Mini-Diamonds /399
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Pink Sparkle /399
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Yellow Mini-Diamonds /299
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Yellow Sparkle /299
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Purple Mini-Diamonds /199
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Purple Sparkle /199
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Blue /150
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Blue Mini-Diamonds /150
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Blue Sparkle /150
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Green /99
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Green Mini-Diamonds /99
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Green Sparkle /99
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Black & White /75
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Black & White Mini-Diamonds /75
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Black & White Sparkle /75
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Gold /50
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Gold Mini-Diamonds /50
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Gold Sparkle /50
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Netbuster /38
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Orange /25
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Orange Mini-Diamonds /25
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Orange Sparkle /25
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Black /10
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Black Mini-Diamonds /10
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Black Sparkle /10
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Red /5
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Red Mini-Diamonds /5
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,Red Sparkle /5
81,Base,81,Jack Hinshelwood,Brighton & Hove Albion,,FoilFractor 1/1
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Base
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Blue Voltage
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Gold Rainbow Laser
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Green Voltage
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Pink Voltage
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,PL
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Purple Voltage
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Yellow Voltage
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Aqua Sparkle /499
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Pink Mini-Diamonds /399
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Pink Sparkle /399
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Yellow Mini-Diamonds /299
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Yellow Sparkle /299
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Purple Mini-Diamonds /199
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Purple Sparkle /199
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Blue /150
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Blue Mini-Diamonds /150
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Blue Sparkle /150
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Green /99
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Green Mini-Diamonds /99
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Green Sparkle /99
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Black & White /75
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Black & White Mini-Diamonds /75
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Black & White Sparkle /75
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Gold /50
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Gold Mini-Diamonds /50
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Gold Sparkle /50
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Netbuster /38
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Orange /25
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Orange Mini-Diamonds /25
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Orange Sparkle /25
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Black /10
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Black Mini-Diamonds /10
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Black Sparkle /10
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Red /5
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Red Mini-Diamonds /5
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,Red Sparkle /5
82,Base,82,Carlos Baleba,Brighton & Hove Albion,,FoilFractor 1/1
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Base
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Blue Voltage
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Gold Rainbow Laser
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Green Voltage
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Pink Voltage
83,Base,83,Diego Gómez,Brighton & Hove Albion,,PL
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Purple Voltage
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Yellow Voltage
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Aqua Sparkle /499
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Pink Mini-Diamonds /399
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Pink Sparkle /399
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Yellow Mini-Diamonds /299
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Yellow Sparkle /299
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Purple Mini-Diamonds /199
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Purple Sparkle /199
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Blue /150
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Blue Mini-Diamonds /150
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Blue Sparkle /150
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Green /99
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Green Mini-Diamonds /99
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Green Sparkle /99
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Black & White /75
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Black & White Mini-Diamonds /75
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Black & White Sparkle /75
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Gold /50
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Gold Mini-Diamonds /50
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Gold Sparkle /50
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Netbuster /38
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Orange /25
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Orange Mini-Diamonds /25
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Orange Sparkle /25
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Black /10
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Black Mini-Diamonds /10
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Black Sparkle /10
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Red /5
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Red Mini-Diamonds /5
83,Base,83,Diego Gómez,Brighton & Hove Albion,,Red Sparkle /5
83,Base,83,Diego Gómez,Brighton & Hove Albion,,FoilFractor 1/1
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Base
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Blue Voltage
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Gold Rainbow Laser
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Green Voltage
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Pink Voltage
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,PL
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Purple Voltage
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Yellow Voltage
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Aqua Sparkle /499
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Pink Mini-Diamonds /399
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Pink Sparkle /399
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Yellow Mini-Diamonds /299
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Yellow Sparkle /299
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Purple Mini-Diamonds /199
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Purple Sparkle /199
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Blue /150
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Blue Mini-Diamonds /150
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Blue Sparkle /150
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Green /99
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Green Mini-Diamonds /99
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Green Sparkle /99
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Black & White /75
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Black & White Mini-Diamonds /75
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Black & White Sparkle /75
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Gold /50
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Gold Mini-Diamonds /50
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Gold Sparkle /50
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Netbuster /38
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Orange /25
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Orange Mini-Diamonds /25
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Orange Sparkle /25
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Black /10
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Black Mini-Diamonds /10
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Black Sparkle /10
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Red /5
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Red Mini-Diamonds /5
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,Red Sparkle /5
84,Base,84,Mats Wieffer,Brighton & Hove Albion,,FoilFractor 1/1
85,Base,85,Pascal Groß,Brighton & Hove Albion,,Base
85,Base,85,Pascal Groß,Brighton & Hove Albion,,Blue Voltage
85,Base,85,Pascal Groß,Brighton & Hove Albion,,Gold Rainbow Laser
85,Base,85,Pascal Groß,Brighton & Hove Albion,,Green Voltage
85,Base,85,Pascal Groß,Brighton & Hove Albion,,Pink Voltage
85,Base,85,Pascal Groß,Brighton & Hove Albion,,PL
85,Base,85,Pascal Groß,Brighton & Hove Albion,,Purple Voltage
85,Base,85,Pascal Groß,Brighton & Hove Albion,,Yellow Voltage
85,Base,85,Pascal Groß,Brighton & Hove Albion,,Aqua Sparkle /499
85,Base,85,Pascal Groß,Brighton & Hove Albion,,Pink Mini-Diamonds /399
85,Base,85,Pascal Groß,Brighton & Hove Albion,,Pink Sparkle /399
